DS_SHORT_NAME,DS_URL_TYPE,DS_URL,DS_URL_COMMENTS,PERIOD_AVAIL,DP_DIR_PATH,DP_DIR_HOST,ENTERED
nam2ds,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/2DS-CPI/browse/,,All,/ftp/public/namma/2DS-CPI/browse/,GHRC-FC02,
namsmart,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/SMART-COMMIT/browse/,,All,/ftp/public/namma/SMART-COMMIT/browse/,GHRC-FC02,
namsenegal,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Senegal-Radiosonde-Flux/browse/,,All,/ftp/public/namma/Senegal-Radiosonde-Flux/browse/,GHRC-FC02,
namdrop,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/Dropsonde/browse/,,All,/ftp/public/namma/Dropsonde/browse/,GHRC-FC02,
namcvi,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/CVI/browse/,,All,/ftp/public/namma/CVI/browse/,GHRC-FC02,
namlase,Browse,ftp://airbornescience.nsstc.nasa.gov/namma/LASE/browse/,,All,/ftp/public/namma/LASE/browse/,GHRC-FC02,
gpmpansstc,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/berm_nsstc/parsivel/,,All,/ftp/public/gpm_validation/berm_nsstc/parsivel/,GHRC-FC02,
gpmjwnsstc,Data Access,ftp://gpm.nsstc.nasa.gov/gpm_validation/berm_nsstc/jw/,,All,/ftp/public/gpm_validation/berm_nsstc/jw/,GHRC-FC02,
gpmpansstc,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/nsstcberm/gpmpansstc/gpm_parsivel_nsstc_dataset.html,,,,,
gpm2dnsstc,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/nsstcberm/gpm2dnsstc/gpm_2dvd_nsstc_dataset.html,,,,,
gpmjwnsstc,Guide,http://ghrc.nsstc.nasa.gov/uso/ds_docs/gpmgv/nsstcberm/gpmjwnsstc/gpm_joss_waldvogel.html,,,,,
namapr2,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/APR2/data/,,All,/ftp/public/namma/APR2/data/,GHRC-FC02,
namcaps,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/CAPS-PIP/data/,,All,/ftp/public/namma/CAPS-PIP/data/,GHRC-FC02,
namcobalt,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/COBALT/data/,,All,/ftp/public/namma/COBALT/data/,GHRC-FC02,
namcvi,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/CVI/data/,,All,/ftp/public/namma/CVI/data/,GHRC-FC02,
namdblue,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Deep-Blue/data/,,All,/ftp/public/namma/Deep-Blue/data/,GHRC-FC02,
namdc8nav,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/DC8-Nav/data/,,All,/ftp/public/namma/DC8-Nav/data/,GHRC-FC02,
namdlh,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/DLH/data/,,All,/ftp/public/namma/DLH/data/,GHRC-FC02,
namdrop,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Dropsonde/data/,,All,/ftp/public/namma/Dropsonde/data/,GHRC-FC02,
namhamsr,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/HAMSR/data/,,All,/ftp/public/namma/HAMSR/data/,GHRC-FC02,
namlarge,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/LARGE/data/,,All,/ftp/public/namma/LARGE/data/,GHRC-FC02,
namlargen,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/DC8-Nav_LARGE/data/,,All,/ftp/public/namma/DC8-Nav_LARGE/data/,GHRC-FC02,
gpmuhfspcmc3e,PI Documentation,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/profiler/uhf449/doc/Profiler_MC3E_Data_Description_2012_08_29v2.docx,PI Documentation,,,,4-Feb-13
nammms,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/MMS/data/,,All,/ftp/public/namma/MMS/data/,GHRC-FC02,
namapr2,PI Documentation,ftp://ghrc.nsstc.nasa.gov/pub/doc/namma/namapr2/NAMMA06_APR2_Format_HDFv41.doc,,,,,
gpmuhfspcmc3e,PI Documentation,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/profiler/uhf449/doc/Profiler_MC3E_Data_Description_2012_08_29v2.pdf,PI Documentation,,,,4-Feb-13
gpmuhfnoaamc3e,Browse,ftp://gpm.nsstc.nasa.gov/gpm_validation/mc3e/profiler/uhf449/browse/,,All,/ftp/public/gpm_validation/mc3e/profiler/uhf449/browse/,GHRC-FC02,
namsenrg,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/Senegal-Rain-Gauge/data/,,All,/ftp/public/namma/Senegal-Rain-Gauge/data/,GHRC-FC02,
namsmart,Data Access,ftp://airbornescience.nsstc.nasa.gov/namma/SMART-COMMIT/data/,,All,/ftp/public/namma/SMART-COMMIT/data/,GHRC-FC02,
